,Strategy,Dataset,n_instances,l_attributes,k_neighbours,fit_time,accuracy,f1_macro,f1_micro
8,Randomised search,D9,958,29,5,0.0036764144897460938,0.8329853862212944,0.8153278765782956,0.8329853862212944
9,Randomised search,D9,958,29,9,0.0030077298482259116,0.8340292275574113,0.8169767234047277,0.8340292275574113
10,Randomised search,D9,958,29,28,0.007687012354532878,0.8340292275574113,0.8169767234047277,0.8340292275574113
11,Randomised search,D9,958,29,19,0.003676255544026693,0.8329853862212944,0.8153278765782956,0.8329853862212944
12,Randomised search,D9,958,29,28,0.003342151641845703,0.8340292275574113,0.8169767234047277,0.8340292275574113
13,Randomised search,D9,958,29,25,0.00300749142964681,0.8340292275574113,0.8169767234047277,0.8340292275574113
14,Randomised search,D9,958,29,18,0.0030082066853841147,0.8329853862212944,0.8159184084173402,0.8329853862212944
15,Randomised search,D9,958,29,14,0.004344781239827474,0.8340292275574113,0.8169767234047277,0.8340292275574113
16,Randomised search,D9,958,29,7,0.003008286158243815,0.8340292275574113,0.8169767234047277,0.8340292275574113
17,Randomised search,D9,958,29,19,0.003007968266805013,0.8329853862212944,0.8153278765782956,0.8329853862212944
18,Randomised search,D9,958,29,16,0.003007650375366211,0.8340292275574113,0.8169767234047277,0.8340292275574113
19,Randomised search,D9,958,29,10,0.0033423900604248047,0.8340292275574113,0.8169767234047277,0.8340292275574113
20,Randomised search,D9,958,29,1,0.0026737848917643228,0.8340292275574113,0.8169767234047277,0.8340292275574113
21,Randomised search,D9,958,29,20,0.0030083656311035156,0.8329853862212944,0.8159184084173402,0.8329853862212944
22,Randomised search,D9,958,29,21,0.003007809321085612,0.8329853862212944,0.8153278765782956,0.8329853862212944
23,Randomised search,D9,958,29,20,0.003007968266805013,0.8329853862212944,0.8159184084173402,0.8329853862212944
24,Randomised search,D9,958,29,24,0.0026737848917643228,0.8340292275574113,0.8169767234047277,0.8340292275574113
0,Randomised search,D10,178,15,1,0.002005497614542643,0.7696629213483146,0.7677622003464699,0.7696629213483146
1,Randomised search,D10,178,15,7,0.0020055770874023438,0.7696629213483146,0.7677622003464699,0.7696629213483146
2,Randomised search,D10,178,15,9,0.0020056565602620444,0.7640449438202247,0.7623327644493048,0.7640449438202247
3,Randomised search,D10,178,15,3,0.0016709168752034504,0.7640449438202247,0.7623327644493048,0.7640449438202247
4,Randomised search,D10,178,15,1,0.0016713142395019531,0.7696629213483146,0.7677622003464699,0.7696629213483146
5,Randomised search,D10,178,15,1,0.0013365745544433594,0.7696629213483146,0.7677622003464699,0.7696629213483146
6,Randomised search,D10,178,15,3,0.0020062128702799478,0.7640449438202247,0.7623327644493048,0.7640449438202247
7,Randomised search,D10,178,15,2,0.0013368924458821614,0.7752808988764045,0.7742229027831328,0.7752808988764045
8,Randomised search,D10,178,15,10,0.0016713142395019531,0.7696629213483146,0.7687913941790321,0.7696629213483146
9,Randomised search,D10,178,15,9,0.00167083740234375,0.7640449438202247,0.7623327644493048,0.7640449438202247
